2.710000000000000000e+02,-0.000000000000000000e+00,1.570000000000000000e+02,5.630000000000000000e+02,1.002000000000000000e+03,4.000000000000000000e+00,3.620000000000000000e+02,8.010000000000000000e+02,1.170000000000000000e+03,6.700000000000000000e+02
4.700000000000000000e+02,8.700000000000000000e+01,1.364000000000000000e+03,4.820000000000000000e+02,4.640000000000000000e+02,4.670000000000000000e+02,6.350000000000000000e+02,1.310000000000000000e+02,4.810000000000000000e+02,4.190000000000000000e+02
5.250000000000000000e+02,4.980000000000000000e+02,1.880000000000000000e+02,5.520000000000000000e+02,8.960000000000000000e+02,3.060000000000000000e+02,1.051000000000000000e+03,1.160000000000000000e+02,4.140000000000000000e+02,4.540000000000000000e+02
5.010000000000000000e+02,1.630000000000000000e+02,1.445000000000000000e+03,2.850000000000000000e+02,7.370000000000000000e+02,1.920000000000000000e+02,3.790000000000000000e+02,1.690000000000000000e+02,4.730000000000000000e+02,6.560000000000000000e+02
7.120000000000000000e+02,3.620000000000000000e+02,2.060000000000000000e+02,8.890000000000000000e+02,2.230000000000000000e+02,6.220000000000000000e+02,5.280000000000000000e+02,8.320000000000000000e+02,2.540000000000000000e+02,3.720000000000000000e+02
5.690000000000000000e+02,2.250000000000000000e+02,3.640000000000000000e+02,3.270000000000000000e+02,5.420000000000000000e+02,1.790000000000000000e+02,9.560000000000000000e+02,7.400000000000000000e+02,1.950000000000000000e+02,9.030000000000000000e+02
8.750000000000000000e+02,3.910000000000000000e+02,3.220000000000000000e+02,9.890000000000000000e+02,8.530000000000000000e+02,1.810000000000000000e+02,8.000000000000000000e+02,1.080000000000000000e+02,1.880000000000000000e+02,2.930000000000000000e+02
2.710000000000000000e+02,3.570000000000000000e+02,4.140000000000000000e+02,4.200000000000000000e+02,4.970000000000000000e+02,5.230000000000000000e+02,1.430000000000000000e+02,9.950000000000000000e+02,6.630000000000000000e+02,7.170000000000000000e+02
2.710000000000000000e+02,8.470000000000000000e+02,3.620000000000000000e+02,6.350000000000000000e+02,6.030000000000000000e+02,2.050000000000000000e+02,3.550000000000000000e+02,1.080000000000000000e+02,3.970000000000000000e+02,1.217000000000000000e+03
4.070000000000000000e+02,2.740000000000000000e+02,1.970000000000000000e+02,6.280000000000000000e+02,8.570000000000000000e+02,7.020000000000000000e+02,2.580000000000000000e+02,1.080000000000000000e+02,-0.000000000000000000e+00,1.569000000000000000e+03
